id,cat_1_fi,cat_2_fi,cat_1_en,cat_2_en,rec_index,two_layout,three_layout,chart,table,title_fi,title_en,text_fi,text_en,description_fi,description_en,url
33,Työpaikat ja työvoima,Alle 25-vuotiaat työttömät,null,null,1,No,No,No,No,Alle 25-vuotiaat työttömät,null,null,null,null,null,null
34,Rakentaminen ja asuminen,Valmistuneet asunnot huoneluvun mukaan,null,null,1,No,No,No,No,Valmistuneet asunnot huoneluvun mukaan,null,null,null,null,null,null
35,Rakentaminen ja asuminen,Valmistuneet asunnot talotyypin mukaan,null,null,1,No,No,No,No,Valmistuneet asunnot talotyypin mukaan,null,null,null,null,null,null
36,Rakentaminen ja asuminen,Valmistuneet valtion osalainoittamat asunnot rahoituksen mukaan,null,null,1,No,No,No,No,Valmistuneet valtion osalainoittamat asunnot rahoituksen mukaan,null,null,null,null,null,null
37,Rakentaminen ja asuminen,Asuntolainoitettujen vuokratalojen vuokra,null,null,1,No,No,No,No,Asuntolainoitettujen vuokratalojen vuokra,null,null,null,null,null,null
38,Rakentaminen ja asuminen,Myönnetyt rakennusluvat,null,null,1,No,No,No,No,Myönnetyt rakennusluvat,null,null,null,null,null,null
39,Rakentaminen ja asuminen,Valmistuneet rakennukset,null,null,1,No,No,No,No,Valmistuneet rakennukset,null,null,null,null,null,null
40,Rakentaminen ja asuminen,Kesämökit,null,null,1,No,No,No,No,Kesämökit,null,null,null,null,null,null
41,Rakentaminen ja asuminen,Vanhojen asuntojen velattomat neliöhinnat,null,null,1,No,No,No,No,Vanhojen asuntojen velattomat neliöhinnat,null,null,null,null,null,null
42,Rakentaminen ja asuminen,Asuntojen reaalihintaindeksi,null,null,1,No,No,No,No,Asuntojen reaalihintaindeksi,null,null,null,null,null,null
