"Vuosineljännes","Postinumero","Huoneluku","Lukumäärä","muutos","postialue_id"
"2024Q2","36220 Suorama   (Kangasala )","Yksiöt",23,14.67,"36220"
"2024Q2","88600 Sotkamo Keskus   (Sotkamo )","Yksiöt",35,14.67,"88600"
"2024Q2","65320 Huutoniemi   (Vaasa )","Yksiöt",28,14.56,"65320"
"2024Q2","15520 Saksala   (Lahti )","Yksiöt",44,14.55,"15520"
"2024Q2","07900 Loviisa Keskus   (Loviisa )","Yksiöt",47,14.53,"07900"
"2024Q2","96500 Korkalovaara   (Rovaniemi )","Yksiöt",64,14.53,"96500"
"2024Q2","15500 Liipola   (Lahti )","Yksiöt",55,14.52,"15500"
"2024Q2","57130 Savonlinna Keskus   (Savonlinna )","Yksiöt",65,14.52,"57130"
"2024Q2","93600 Kuusamo   (Kuusamo )","Yksiöt",57,14.5,"93600"
"2024Q2","21100 Naantali Keskus   (Naantali )","Yksiöt",43,14.46,"21100"
"2024Q2","57100 Heikinpohja-Piispanmäki   (Savonlinna )","Yksiöt",116,14.46,"57100"
"2024Q2","15830 Metsäkangas   (Lahti )","Yksiöt",53,14.45,"15830"
"2024Q2","26100 Rauma Keskus   (Rauma )","Yksiöt",261,14.44,"26100"
"2024Q2","10600 Tammisaari Keskus   (Raasepori )","Yksiöt",53,14.41,"10600"
"2024Q2","67800 Koivuhaka   (Kokkola )","Yksiöt",23,14.38,"67800"
"2024Q2","87500 Lehtikangas   (Kajaani )","Yksiöt",34,14.29,"87500"
"2024Q2","10300 Karjaa Keskus   (Raasepori )","Yksiöt",47,14.26,"10300"
"2024Q2","03600 Karkkila Keskus   (Karkkila )","Yksiöt",40,14.19,"03600"
"2024Q2","24100 Salo Keskus   (Salo )","Yksiöt",208,14.18,"24100"
"2024Q2","21500 Piikkiö   (Kaarina )","Yksiöt",20,14.16,"21500"
"2024Q2","53950 Kivisalmi   (Lappeenranta )","Yksiöt",22,14.15,"53950"
"2024Q2","53300 Lauritsala-Mälkiä   (Lappeenranta )","Yksiöt",33,14.14,"53300"
"2024Q2","90830 Haukipudas Keskus   (Oulu )","Yksiöt",24,14.13,"90830"
"2024Q2","65350 Suvilahti   (Vaasa )","Yksiöt",25,14.11,"65350"
"2024Q2","37600 Valkeakoski Keskus   (Valkeakoski )","Yksiöt",103,14.09,"37600"
"2024Q2","49400 Hamina Keskus   (Hamina )","Yksiöt",83,13.95,"49400"
"2024Q2","65230 Vetokannas   (Vaasa )","Yksiöt",25,13.94,"65230"
"2024Q2","55100 Imatra Keskus   (Imatra )","Yksiöt",90,13.93,"55100"
"2024Q2","94100 Kemi Keskus   (Kemi )","Yksiöt",154,13.93,"94100"
"2024Q2","40640 Keltinmäki   (Jyväskylä )","Yksiöt",108,13.91,"40640"
"2024Q2","57210 Nojanmaa   (Savonlinna )","Yksiöt",21,13.86,"57210"
"2024Q2","65370 Ristinummi   (Vaasa )","Yksiöt",27,13.74,"65370"
"2024Q2","10650 Flyet   (Raasepori )","Yksiöt",21,13.71,"10650"
"2024Q2","68600 Pietarsaari Keskus   (Pietarsaari )","Yksiöt",76,13.7,"68600"
"2024Q2","45200 Tornionmäki   (Kouvola )","Yksiöt",135,13.69,"45200"
"2024Q2","37630 Vääräkoivu   (Valkeakoski )","Yksiöt",61,13.62,"37630"
"2024Q2","15860 Kartano   (Hollola )","Yksiöt",40,13.6,"15860"
"2024Q2","74120 Iisalmi Keskus Pohjoinen   (Iisalmi )","Yksiöt",53,13.6,"74120"
"2024Q2","50160 Kattilansilta   (Mikkeli )","Yksiöt",24,13.59,"50160"
"2024Q2","60150 Kasperi   (Seinäjoki )","Yksiöt",32,13.59,"60150"
"2024Q2","95430 Suensaari   (Tornio )","Yksiöt",44,13.54,"95430"
"2024Q2","24240 Rappula   (Salo )","Yksiöt",47,13.53,"24240"
"2024Q2","26200 Merirauma-Kappelinluhta   (Rauma )","Yksiöt",24,13.49,"26200"
"2024Q2","37800 Toijala keskus   (Akaa )","Yksiöt",60,13.48,"37800"
"2024Q2","48200 Hovinsaari   (Kotka )","Yksiöt",68,13.48,"48200"
"2024Q2","54100 Joutseno Keskus   (Lappeenranta )","Yksiöt",33,13.48,"54100"
"2024Q2","57170 Sortteerinlahti-Talvisalo   (Savonlinna )","Yksiöt",43,13.47,"57170"
"2024Q2","14200 Turenki   (Janakkala )","Yksiöt",35,13.46,"14200"
"2024Q2","38200 Vammala Keskus   (Sastamala )","Yksiöt",74,13.43,"38200"
"2024Q2","37830 Viiala Keskus   (Akaa )","Yksiöt",29,13.42,"37830"
"2024Q2","84100 Ylivieska Keskus   (Ylivieska )","Yksiöt",96,13.42,"84100"
"2024Q2","17200 Vääksy Keskus   (Asikkala )","Yksiöt",32,13.39,"17200"
"2024Q2","48600 Karhula   (Kotka )","Yksiöt",122,13.35,"48600"
"2024Q2","92100 Raahe Keskus   (Raahe )","Yksiöt",82,13.33,"92100"
"2024Q2","45700 Kuusankoski Keskus   (Kouvola )","Yksiöt",113,13.2,"45700"
"2024Q2","45160 Lehtomäki   (Kouvola )","Yksiöt",53,13.16,"45160"
"2024Q2","48700 Kyminlinna   (Kotka )","Yksiöt",31,13.16,"48700"
"2024Q2","16300 Orimattila Keskus   (Orimattila )","Yksiöt",69,13.15,"16300"
"2024Q2","41340 Laukaa Keskus   (Laukaa )","Yksiöt",33,13.13,"41340"
"2024Q2","55120 Mansikkala-Tuulikallio   (Imatra )","Yksiöt",97,13.13,"55120"
"2024Q2","23500 Uusikaupunki Keskus   (Uusikaupunki )","Yksiöt",70,13.12,"23500"
"2024Q2","44100 Äänekoski Keskus   (Äänekoski )","Yksiöt",83,13.09,"44100"
"2024Q2","28360 Vanhakoivisto   (Pori )","Yksiöt",30,13.05,"28360"
"2024Q2","57200 Miekonniemi-Venäjänniemi   (Savonlinna )","Yksiöt",29,13.04,"57200"
"2024Q2","28120 Käppärä-Isomäki   (Pori )","Yksiöt",72,13.03,"28120"
"2024Q2","21530 Paimio Keskus   (Paimio )","Yksiöt",62,13,"21530"
"2024Q2","28610 Musa-Tiiliruukki   (Pori )","Yksiöt",32,12.98,"28610"
"2024Q2","21600 Parainen Keskus   (Parainen )","Yksiöt",29,12.94,"21600"
"2024Q2","91500 Muhos Keskus   (Muhos )","Yksiöt",20,12.88,"91500"
"2024Q2","18100 Heinola Keskus   (Heinola )","Yksiöt",81,12.82,"18100"
"2024Q2","26660 Paroalho   (Rauma )","Yksiöt",39,12.78,"26660"
"2024Q2","15560 Nastola kk   (Lahti )","Yksiöt",33,12.67,"15560"
"2024Q2","28600 Vähärauma   (Pori )","Yksiöt",31,12.65,"28600"
"2024Q2","48350 Karhuvuori   (Kotka )","Yksiöt",97,12.65,"48350"
"2024Q2","55610 Rajapatsas-Teppanala   (Imatra )","Yksiöt",23,12.62,"55610"
"2024Q2","30420 Tölö   (Forssa )","Yksiöt",56,12.51,"30420"
"2024Q2","38210 Vammala Asemanseutu   (Sastamala )","Yksiöt",26,12.46,"38210"
"2024Q2","35300 Orivesi Keskus   (Orivesi )","Yksiöt",43,12.41,"35300"
"2024Q2","55800 Vuoksenniska-Saarlampi   (Imatra )","Yksiöt",44,12.39,"55800"
"2024Q2","45150 Kankaronmäki-Eskolanmäki   (Kouvola )","Yksiöt",83,12.35,"45150"
"2024Q2","73300 Nilsiä Keskus   (Kuopio )","Yksiöt",21,12.35,"73300"
"2024Q2","30100 Forssa Keskus   (Tammela )","Yksiöt",177,12.33,"30100"
"2024Q2","46800 Myllykoski   (Kouvola )","Yksiöt",23,12.32,"46800"
"2024Q2","24260 Ollikkala   (Salo )","Yksiöt",28,12.25,"24260"
"2024Q2","94700 Takajärvi-Haukkari   (Kemi )","Yksiöt",28,12.23,"94700"
"2024Q2","28190 Pormestarinluoto   (Pori )","Yksiöt",57,12.09,"28190"
"2024Q2","39200 Kyröskoski   (Hämeenkyrö )","Yksiöt",22,12.07,"39200"
"2024Q2","83500 Outokumpu Keskus   (Outokumpu )","Yksiöt",49,12.06,"83500"
"2024Q2","51900 Juva Keskus   (Juva )","Yksiöt",20,12.05,"51900"
"2024Q2","16600 Järvelä   (Kärkölä )","Yksiöt",23,12.01,"16600"
"2024Q2","32700 Huittinen Keskus   (Huittinen )","Yksiöt",51,11.98,"32700"
"2024Q2","42100 Jämsä Keskus   (Jämsä )","Yksiöt",84,11.96,"42100"
"2024Q2","61300 Kurikka Keskus   (Kurikka )","Yksiöt",21,11.96,"61300"
"2024Q2","42700 Keuruu Keskus   (Keuruu )","Yksiöt",73,11.95,"42700"
"2024Q2","44500 Viitasaari Keskus   (Viitasaari )","Yksiöt",39,11.93,"44500"
"2024Q2","75530 Porokylä   (Nurmes )","Yksiöt",26,11.83,"75530"
"2024Q2","63300 Alavus Keskus   (Alavus )","Yksiöt",22,11.81,"63300"
"2024Q2","62100 Lapua Keskus   (Lapua )","Yksiöt",24,11.8,"62100"
"2024Q2","28370 Sampola   (Pori )","Yksiöt",53,11.79,"28370"
"2024Q2","28400 Ulvila Keskus   (Ulvila )","Yksiöt",23,11.79,"28400"
"2024Q2","38700 Kankaanpää Keskus   (Kankaanpää )","Yksiöt",46,11.78,"38700"
"2024Q2","39500 Ikaalinen Keskus   (Ikaalinen )","Yksiöt",38,11.77,"39500"
"2024Q2","31400 Somero Keskus   (Somero )","Yksiöt",35,11.72,"31400"
"2024Q2","18130 Tommola-Sahanniemi   (Heinola )","Yksiöt",24,11.71,"18130"
"2024Q2","32200 Loimaa Keskus   (Loimaa )","Yksiöt",81,11.69,"32200"
"2024Q2","61800 Kauhajoki Keskus   (Kauhajoki )","Yksiöt",41,11.69,"61800"
"2024Q2","60800 Ilmajoki Keskus   (Ilmajoki )","Yksiöt",22,11.68,"60800"
"2024Q2","77600 Suonenjoki Keskus   (Suonenjoki )","Yksiöt",34,11.67,"77600"
"2024Q2","18200 Kaakonlampi-Pyhätön   (Heinola )","Yksiöt",27,11.66,"18200"
"2024Q2","75500 Nurmes Keskus   (Nurmes )","Yksiöt",24,11.64,"75500"
"2024Q2","79100 Leppävirta Keskus   (Leppävirta )","Yksiöt",33,11.63,"79100"
"2024Q2","18150 Jyränkö   (Heinola )","Yksiöt",31,11.61,"18150"
"2024Q2","44150 Likolahti-Karhunlähde   (Äänekoski )","Yksiöt",35,11.6,"44150"
"2024Q2","73100 Lapinlahti Keskus   (Lapinlahti )","Yksiöt",60,11.58,"73100"
"2024Q2","82500 Kitee Keskus   (Kitee )","Yksiöt",29,11.58,"82500"
"2024Q2","39700 Parkano Keskus   (Parkano )","Yksiöt",30,11.57,"39700"
"2024Q2","78200 Varkaus Keskus   (Leppävirta )","Yksiöt",142,11.55,"78200"
"2024Q2","85500 Nivala Keskus   (Nivala )","Yksiöt",36,11.51,"85500"
"2024Q2","76150 Länsirinne   (Pieksämäki )","Yksiöt",47,11.5,"76150"
"2024Q2","81700 Lieksa Keskus   (Lieksa )","Yksiöt",41,11.48,"81700"
"2024Q2","28330 Koivistonluoto   (Pori )","Yksiöt",26,11.47,"28330"
"2024Q2","35800 Mänttä   (Mänttä-Vilppula )","Yksiöt",46,11.45,"35800"
"2024Q2","74700 Kiuruvesi Keskus   (Kiuruvesi )","Yksiöt",39,11.4,"74700"
"2024Q2","43100 Saarijärvi Keskus   (Saarijärvi )","Yksiöt",58,11.36,"43100"
"2024Q2","63700 Ähtäri Keskus   (Ähtäri )","Yksiöt",26,11.35,"63700"
"2024Q2","76100 Pieksämäki Keskus   (Pieksämäki )","Yksiöt",64,11.29,"76100"
"2024Q2","86300 Oulainen Keskus   (Oulainen )","Yksiöt",41,11.27,"86300"
"2024Q2","44200 Suolahti Keskus   (Äänekoski )","Yksiöt",38,11.26,"44200"
"2024Q2","30300 Viksberg   (Forssa )","Yksiöt",45,11.18,"30300"
"2024Q2","42300 Jämsänkoski Keskus   (Jämsä )","Yksiöt",27,11.17,"42300"
"2024Q2","51200 Kangasniemi Keskus   (Kangasniemi )","Yksiöt",26,11.15,"51200"
"2024Q2","29200 Harjavalta Keskus   (Harjavalta )","Yksiöt",44,11.02,"29200"
"2024Q2","32800 Kokemäki Keskus   (Kokemäki )","Yksiöt",24,10.52,"32800"
