"Vuosineljännes","Postinumero","Huoneluku","Lukumäärä","muutos","postialue_id"
"2024Q2","02770 Espoon Keskus   (Espoo )","Yksiöt",107,23.22,"02770"
"2024Q2","02700 Kauniainen   (Kauniainen )","Yksiöt",82,23.21,"02700"
"2024Q2","00620 Metsälä-Etelä-Oulunkylä   (Helsinki )","Yksiöt",24,23.12,"00620"
"2024Q2","01510 Kirkonkylä-Veromäki   (Vantaa )","Yksiöt",76,23.1,"01510"
"2024Q2","02330 Saunalahti-Kattilalaakso   (Espoo )","Yksiöt",159,23.1,"02330"
"2024Q2","02210 Olari   (Espoo )","Yksiöt",146,23.04,"02210"
"2024Q2","00910 Puotila   (Helsinki )","Yksiöt",177,22.92,"00910"
"2024Q2","00600 Koskela-Helsinki   (Helsinki )","Yksiöt",25,22.87,"00600"
"2024Q2","02720 Lähderanta   (Espoo )","Yksiöt",85,22.87,"02720"
"2024Q2","04250 Alikerava   (Kerava )","Yksiöt",103,22.72,"04250"
"2024Q2","02650 Pohjois-Leppävaara   (Espoo )","Yksiöt",149,22.68,"02650"
"2024Q2","00970 Mellunmäki   (Helsinki )","Yksiöt",149,22.59,"00970"
"2024Q2","00710 Pihlajamäki   (Helsinki )","Yksiöt",188,22.57,"00710"
"2024Q2","01200 Hakunila   (Vantaa )","Yksiöt",189,22.55,"01200"
"2024Q2","01350 Hiekkaharju   (Vantaa )","Yksiöt",233,22.51,"01350"
"2024Q2","02430 Masala   (Kirkkonummi )","Yksiöt",35,22.47,"02430"
"2024Q2","00720 Pukinmäki-Savela   (Helsinki )","Yksiöt",123,22.42,"00720"
"2024Q2","01520 Tammisto   (Vantaa )","Yksiöt",34,22.31,"01520"
"2024Q2","00410 Malminkartano   (Helsinki )","Yksiöt",86,22.26,"00410"
"2024Q2","00870 Etelä-Laajasalo   (Helsinki )","Yksiöt",20,22.12,"00870"
"2024Q2","02360 Soukka   (Espoo )","Yksiöt",160,22.1,"02360"
"2024Q2","02750 Sepänkylä-Kuurinniitty   (Espoo )","Yksiöt",24,21.92,"02750"
"2024Q2","00780 Tapaninvainio   (Helsinki )","Yksiöt",36,21.87,"00780"
"2024Q2","00740 Siltamäki   (Helsinki )","Yksiöt",39,21.7,"00740"
"2024Q2","00750 Puistola   (Helsinki )","Yksiöt",100,21.55,"00750"
"2024Q2","02760 Tuomarila-Suvela   (Espoo )","Yksiöt",189,21.47,"02760"
"2024Q2","01280 Länsimäki   (Vantaa )","Yksiöt",122,21.35,"01280"
"2024Q2","01230 Vaarala   (Vantaa )","Yksiöt",36,21.33,"01230"
"2024Q2","33210 Itä-Amuri-Tammerkoski   (Tampere )","Yksiöt",504,21.28,"33210"
"2024Q2","01710 Pähkinärinne   (Vantaa )","Yksiöt",121,21.12,"01710"
"2024Q2","01480 Mikkola   (Vantaa )","Yksiöt",74,21.05,"01480"
"2024Q2","20520 Kupittaa   (Turku )","Yksiöt",365,21.02,"20520"
"2024Q2","04410 Järvenpää Keskus   (Järvenpää )","Yksiöt",202,21,"04410"
"2024Q2","04260 Savio   (Kerava )","Yksiöt",106,20.91,"04260"
"2024Q2","33870 Vuores   (Lempäälä )","Yksiöt",258,20.91,"33870"
"2024Q2","33200 Tampere Keskus Läntinen   (Tampere )","Yksiöt",395,20.88,"33200"
"2024Q2","01360 Koivukylä-Havukoski   (Vantaa )","Yksiöt",216,20.85,"01360"
"2024Q2","33250 Pispala   (Tampere )","Yksiöt",117,20.8,"33250"
"2024Q2","33900 Härmälä-Rantaperkiö   (Tampere )","Yksiöt",494,20.74,"33900"
"2024Q2","33800 Nekala   (Tampere )","Yksiöt",508,20.71,"33800"
"2024Q2","01450 Korso   (Vantaa )","Yksiöt",178,20.57,"01450"
"2024Q2","01650 Vapaala   (Vantaa )","Yksiöt",33,20.48,"01650"
"2024Q2","04400 Loutti   (Järvenpää )","Yksiöt",201,20.47,"04400"
"2024Q2","04230 Pihkaniitty   (Kerava )","Yksiöt",30,20.46,"04230"
"2024Q2","33240 Tahmela   (Tampere )","Yksiöt",63,20.45,"33240"
"2024Q2","33500 Osmonmäki-Petsamo   (Tampere )","Yksiöt",588,20.44,"33500"
"2024Q2","80220 Penttilä   (Joensuu )","Yksiöt",162,20.35,"80220"
"2024Q2","02320 Espoonlahti   (Espoo )","Yksiöt",233,20.34,"02320"
"2024Q2","02400 Kirkkonummi Keskus   (Kirkkonummi )","Yksiöt",118,20.2,"02400"
"2024Q2","33340 Haukiluoma-Ikuri   (Tampere )","Yksiöt",54,20.2,"33340"
"2024Q2","04200 Kerava Keskus   (Kerava )","Yksiöt",226,20.19,"04200"
"2024Q2","40100 Jyväskylä Keskus   (Jyväskylä )","Yksiöt",869,20.16,"40100"
"2024Q2","00770 Jakomäki - Alppikylä   (Helsinki )","Yksiöt",28,20.14,"00770"
"2024Q2","33540 Kaleva   (Tampere )","Yksiöt",570,20.14,"33540"
"2024Q2","33100 Tampere Keskus   (Tampere )","Yksiöt",675,20.08,"33100"
"2024Q2","70100 Kuopio Keskus   (Kuopio )","Yksiöt",567,19.97,"70100"
"2024Q2","33400 Luoteis-Tampere   (Tampere )","Yksiöt",247,19.93,"33400"
"2024Q2","33580 Atala-Linnainmaa   (Tampere )","Yksiöt",202,19.86,"33580"
"2024Q2","04320 Riihikallio   (Tuusula )","Yksiöt",30,19.85,"04320"
"2024Q2","90400 Äimärautio   (Oulu )","Yksiöt",125,19.81,"90400"
"2024Q2","33850 Multisilta   (Pirkkala )","Yksiöt",50,19.79,"33850"
"2024Q2","70110 Etu-Niirala   (Kuopio )","Yksiöt",285,19.77,"70110"
"2024Q2","70840 Jynkänmäki   (Kuopio )","Yksiöt",74,19.77,"70840"
"2024Q2","06100 Porvoo Keskus   (Porvoo )","Yksiöt",212,19.72,"06100"
"2024Q2","70600 Niirala-Huuhanmäki   (Kuopio )","Yksiöt",107,19.69,"70600"
"2024Q2","90510 Hietasaari   (Oulu )","Yksiöt",24,19.52,"90510"
"2024Q2","40500 Keljo-Ristonmaa   (Jyväskylä )","Yksiöt",73,19.4,"40500"
"2024Q2","13100 Hämeenlinna Keskus   (Hämeenlinna )","Yksiöt",542,19.37,"13100"
"2024Q2","20100 Turku Keskus   (Turku )","Yksiöt",1889,19.35,"20100"
"2024Q2","01800 Klaukkala Keskus   (Nurmijärvi )","Yksiöt",90,19.27,"01800"
"2024Q2","20300 Pohjola-Kastu   (Turku )","Yksiöt",192,19.23,"20300"
"2024Q2","33520 Keskussairaala-alue-Kauppi   (Tampere )","Yksiöt",29,19.15,"33520"
"2024Q2","20500 Vesilinna   (Turku )","Yksiöt",595,19.14,"20500"
"2024Q2","90540 Kuivasjärvi   (Oulu )","Yksiöt",38,19.14,"90540"
"2024Q2","04430 Kinnari-Mikonkorpi   (Järvenpää )","Yksiöt",28,19.12,"04430"
"2024Q2","20700 Vartiovuori-Samppalinna   (Turku )","Yksiöt",321,19.09,"20700"
"2024Q2","90520 Taskila-Toppila   (Oulu )","Yksiöt",212,19.07,"90520"
"2024Q2","33230 Länsi-Amuri   (Tampere )","Yksiöt",147,19.06,"33230"
"2024Q2","05900 Vieremä   (Hyvinkää )","Yksiöt",88,19.03,"05900"
"2024Q2","70820 Litmanen   (Kuopio )","Yksiöt",26,19.02,"70820"
"2024Q2","70200 Puijonlaakso   (Kuopio )","Yksiöt",241,18.91,"70200"
"2024Q2","33720 Hervanta   (Tampere )","Yksiöt",965,18.8,"33720"
"2024Q2","04440 Jamppa   (Järvenpää )","Yksiöt",71,18.79,"04440"
"2024Q2","20610 Varissuo   (Turku )","Yksiöt",373,18.7,"20610"
"2024Q2","40700 Mäki-Matti   (Jyväskylä )","Yksiöt",291,18.65,"40700"
"2024Q2","20810 Martti-Korppolaismäki   (Turku )","Yksiöt",420,18.58,"20810"
"2024Q2","80100 Joensuu Keskus, Pohjoinen   (Joensuu )","Yksiöt",560,18.54,"80100"
"2024Q2","33560 Takahuhti   (Tampere )","Yksiöt",93,18.53,"33560"
"2024Q2","40530 Keljonkangas   (Jyväskylä )","Yksiöt",117,18.49,"40530"
"2024Q2","06400 Gammelbacka   (Porvoo )","Yksiöt",50,18.46,"06400"
"2024Q2","90100 Oulu Keskus   (Oulu )","Yksiöt",458,18.45,"90100"
"2024Q2","90570 Kaijonharju-Linnanmaa   (Oulu )","Yksiöt",339,18.4,"90570"
"2024Q2","15610 Laune-Nikkilä   (Lahti )","Yksiöt",24,18.38,"15610"
"2024Q2","40600 Mattilanpelto   (Jyväskylä )","Yksiöt",116,18.37,"40600"
"2024Q2","33710 Kaukajärvi   (Tampere )","Yksiöt",224,18.36,"33710"
"2024Q2","53900 Pallo-Tysterniemi-Leiri   (Lappeenranta )","Yksiöt",75,18.36,"53900"
"2024Q2","13200 Keinusaari   (Hämeenlinna )","Yksiöt",75,18.33,"13200"
"2024Q2","33410 Lentävänniemi   (Tampere )","Yksiöt",140,18.32,"33410"
"2024Q2","70780 Jynkkä   (Kuopio )","Yksiöt",26,18.31,"70780"
"2024Q2","53100 Lappeenranta keskus   (Lappeenranta )","Yksiöt",420,18.29,"53100"
"2024Q2","70340 Inkilänmäki   (Kuopio )","Yksiöt",47,18.28,"70340"
"2024Q2","80110 Joensuu Keskus Eteläinen   (Joensuu )","Yksiöt",341,18.25,"80110"
"2024Q2","33310 Tesoma   (Tampere )","Yksiöt",59,18.21,"33310"
"2024Q2","33530 Kissanmaa   (Tampere )","Yksiöt",111,18.21,"33530"
"2024Q2","05800 Hyvinkää Keskus   (Hyvinkää )","Yksiöt",190,18.16,"05800"
"2024Q2","96200 Sahanperä-Ratantaus   (Rovaniemi )","Yksiöt",179,18.12,"96200"
"2024Q2","05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )","Yksiöt",86,18.1,"05830"
"2024Q2","20720 Vasaramäki   (Turku )","Yksiöt",187,18.1,"20720"
"2024Q2","80200 Niinivaara   (Joensuu )","Yksiöt",155,18.05,"80200"
"2024Q2","33270 Epilä   (Tampere )","Yksiöt",84,18.02,"33270"
"2024Q2","53600 Kesämäki   (Lappeenranta )","Yksiöt",66,17.99,"53600"
"2024Q2","96100 Rovaniemi Keskus   (Rovaniemi )","Yksiöt",315,17.97,"96100"
"2024Q2","80140 Noljakka   (Joensuu )","Yksiöt",55,17.96,"80140"
"2024Q2","40200 Mannila-Taulumäki   (Jyväskylä )","Yksiöt",179,17.95,"40200"
"2024Q2","40720 Nisula   (Jyväskylä )","Yksiöt",128,17.91,"40720"
"2024Q2","20540 Nummi-Ylioppilaskylä   (Turku )","Yksiöt",320,17.88,"20540"
"2024Q2","06150 Kevätkumpu   (Porvoo )","Yksiöt",39,17.84,"06150"
"2024Q2","15100 Lahti Asemanseutu   (Lahti )","Yksiöt",215,17.8,"15100"
"2024Q2","70150 Neulamäki   (Kuopio )","Yksiöt",154,17.8,"70150"
"2024Q2","40320 Seppälän Teollisuusalue   (Jyväskylä )","Yksiöt",118,17.79,"40320"
